Time,Strain,Metabolite,Concentration,Date,Number,OD600
7.5,WT,Adenine Hemi,0.50,10.7.22,1,0.02682
7.5,WT,Adenine Hemi,2.50,10.7.22,1,0.01536
7.5,WT,Adenine Hemi,5.00,10.7.22,1,0.01446
7.5,WT,Adenine Hemi,12.50,10.7.22,1,0.01392
7.5,WT,Adenine Hemi,25.00,10.7.22,1,0.01159
7.5,152,Adenine Hemi,0.00,10.7.22,1,0.02279
7.5,152,Adenine Hemi,0.00,10.7.22,1,0.02356
7.5,152,Adenine Hemi,0.03,10.7.22,1,0.02486
7.5,152,Adenine Hemi,0.25,10.7.22,1,0.03122
7.5,152,Adenine Hemi,0.50,10.7.22,1,0.02009
7.5,152,Adenine Hemi,2.50,10.7.22,1,0.01839
7.5,152,Adenine Hemi,5.00,10.7.22,1,0.01786
7.5,152,Adenine Hemi,12.50,10.7.22,1,0.01832
7.5,152,Adenine Hemi,25.00,10.7.22,1,0.00906
8.0,WT,Adenine Hemi,0.00,10.7.22,1,0.03021
8.0,WT,Adenine Hemi,0.00,10.7.22,1,0.02538
8.0,WT,Adenine Hemi,0.03,10.7.22,1,0.02744
8.0,WT,Adenine Hemi,0.25,10.7.22,1,0.03761
8.0,WT,Adenine Hemi,0.50,10.7.22,1,0.02881
8.0,WT,Adenine Hemi,2.50,10.7.22,1,0.01888
8.0,WT,Adenine Hemi,5.00,10.7.22,1,0.01644
8.0,WT,Adenine Hemi,12.50,10.7.22,1,0.02058
8.0,WT,Adenine Hemi,25.00,10.7.22,1,0.01364
8.0,152,Adenine Hemi,0.00,10.7.22,1,0.02681
8.0,152,Adenine Hemi,0.00,10.7.22,1,0.02748
8.0,152,Adenine Hemi,0.03,10.7.22,1,0.02788
8.0,152,Adenine Hemi,0.25,10.7.22,1,0.02864
8.0,152,Adenine Hemi,0.50,10.7.22,1,0.02501
8.0,152,Adenine Hemi,2.50,10.7.22,1,0.02238
8.0,152,Adenine Hemi,5.00,10.7.22,1,0.02271
8.0,152,Adenine Hemi,12.50,10.7.22,1,0.02448
8.0,152,Adenine Hemi,25.00,10.7.22,1,0.01104
8.5,WT,Adenine Hemi,0.00,10.7.22,1,0.03443
8.5,WT,Adenine Hemi,0.00,10.7.22,1,0.02873
8.5,WT,Adenine Hemi,0.03,10.7.22,1,0.03047
8.5,WT,Adenine Hemi,0.25,10.7.22,1,0.03577
8.5,WT,Adenine Hemi,0.50,10.7.22,1,0.03180
8.5,WT,Adenine Hemi,2.50,10.7.22,1,0.02027
8.5,WT,Adenine Hemi,5.00,10.7.22,1,0.01653
8.5,WT,Adenine Hemi,12.50,10.7.22,1,0.01987
8.5,WT,Adenine Hemi,25.00,10.7.22,1,0.01613
8.5,152,Adenine Hemi,0.00,10.7.22,1,0.03260
8.5,152,Adenine Hemi,0.00,10.7.22,1,0.03283
8.5,152,Adenine Hemi,0.03,10.7.22,1,0.03363
8.5,152,Adenine Hemi,0.25,10.7.22,1,0.03340
8.5,152,Adenine Hemi,0.50,10.7.22,1,0.03053
8.5,152,Adenine Hemi,2.50,10.7.22,1,0.02747
8.5,152,Adenine Hemi,5.00,10.7.22,1,0.02727
8.5,152,Adenine Hemi,12.50,10.7.22,1,0.02617
8.5,152,Adenine Hemi,25.00,10.7.22,1,0.01347
9.0,WT,Adenine Hemi,0.00,10.7.22,1,0.03540
9.0,WT,Adenine Hemi,0.00,10.7.22,1,0.03417
9.0,WT,Adenine Hemi,0.03,10.7.22,1,0.03623
9.0,WT,Adenine Hemi,0.25,10.7.22,1,0.04350
9.0,WT,Adenine Hemi,0.50,10.7.22,1,0.03857
9.0,WT,Adenine Hemi,2.50,10.7.22,1,0.02530
9.0,WT,Adenine Hemi,5.00,10.7.22,1,0.02253
9.0,WT,Adenine Hemi,12.50,10.7.22,1,0.02153
9.0,WT,Adenine Hemi,25.00,10.7.22,1,0.01887
9.0,152,Adenine Hemi,0.00,10.7.22,1,0.03933
9.0,152,Adenine Hemi,0.00,10.7.22,1,0.03870
9.0,152,Adenine Hemi,0.03,10.7.22,1,0.03920
9.0,152,Adenine Hemi,0.25,10.7.22,1,0.05520
9.0,152,Adenine Hemi,0.50,10.7.22,1,0.03813
9.0,152,Adenine Hemi,2.50,10.7.22,1,0.03440
9.0,152,Adenine Hemi,5.00,10.7.22,1,0.03447
9.0,152,Adenine Hemi,12.50,10.7.22,1,0.03227
9.0,152,Adenine Hemi,25.00,10.7.22,1,0.01643
9.5,WT,Adenine Hemi,0.00,10.7.22,1,0.03678
9.5,WT,Adenine Hemi,0.00,10.7.22,1,0.04008
9.5,WT,Adenine Hemi,0.03,10.7.22,1,0.03844
9.5,WT,Adenine Hemi,0.25,10.7.22,1,0.04541
9.5,WT,Adenine Hemi,0.50,10.7.22,1,0.04108
9.5,WT,Adenine Hemi,2.50,10.7.22,1,0.03088
9.5,WT,Adenine Hemi,5.00,10.7.22,1,0.02478
9.5,WT,Adenine Hemi,12.50,10.7.22,1,0.02878
9.5,WT,Adenine Hemi,25.00,10.7.22,1,0.02211
9.5,152,Adenine Hemi,0.00,10.7.22,1,0.05101
9.5,152,Adenine Hemi,0.00,10.7.22,1,0.04571
9.5,152,Adenine Hemi,0.03,10.7.22,1,0.04581
9.5,152,Adenine Hemi,0.25,10.7.22,1,0.05954
9.5,152,Adenine Hemi,0.50,10.7.22,1,0.06314
9.5,152,Adenine Hemi,2.50,10.7.22,1,0.04218
9.5,152,Adenine Hemi,5.00,10.7.22,1,0.04308
9.5,152,Adenine Hemi,12.50,10.7.22,1,0.03788
9.5,152,Adenine Hemi,25.00,10.7.22,1,0.02011
10.0,WT,Adenine Hemi,0.00,10.7.22,1,0.04014
10.0,WT,Adenine Hemi,0.00,10.7.22,1,0.04651
10.0,WT,Adenine Hemi,0.03,10.7.22,1,0.04334
10.0,WT,Adenine Hemi,0.25,10.7.22,1,0.04604
10.0,WT,Adenine Hemi,0.50,10.7.22,1,0.04691
10.0,WT,Adenine Hemi,2.50,10.7.22,1,0.03581
10.0,WT,Adenine Hemi,5.00,10.7.22,1,0.02961
10.0,WT,Adenine Hemi,12.50,10.7.22,1,0.03094
10.0,WT,Adenine Hemi,25.00,10.7.22,1,0.02644
10.0,152,Adenine Hemi,0.00,10.7.22,1,0.07081
10.0,152,Adenine Hemi,0.00,10.7.22,1,0.05264
10.0,152,Adenine Hemi,0.03,10.7.22,1,0.05278
10.0,152,Adenine Hemi,0.25,10.7.22,1,0.05608
10.0,152,Adenine Hemi,0.50,10.7.22,1,0.06391
10.0,152,Adenine Hemi,2.50,10.7.22,1,0.05394
10.0,152,Adenine Hemi,5.00,10.7.22,1,0.05684
10.0,152,Adenine Hemi,12.50,10.7.22,1,0.04778
10.0,152,Adenine Hemi,25.00,10.7.22,1,0.02398
10.5,WT,Adenine Hemi,0.00,10.7.22,1,0.04497
10.5,WT,Adenine Hemi,0.00,10.7.22,1,0.04937
10.5,WT,Adenine Hemi,0.03,10.7.22,1,0.04803
10.5,WT,Adenine Hemi,0.25,10.7.22,1,0.04927
10.5,WT,Adenine Hemi,0.50,10.7.22,1,0.04700
10.5,WT,Adenine Hemi,2.50,10.7.22,1,0.04037
10.5,WT,Adenine Hemi,5.00,10.7.22,1,0.03283
10.5,WT,Adenine Hemi,12.50,10.7.22,1,0.03580
10.5,WT,Adenine Hemi,25.00,10.7.22,1,0.03123
10.5,152,Adenine Hemi,0.00,10.7.22,1,0.08267
10.5,152,Adenine Hemi,0.00,10.7.22,1,0.06020
10.5,152,Adenine Hemi,0.03,10.7.22,1,0.05973
10.5,152,Adenine Hemi,0.25,10.7.22,1,0.08040
10.5,152,Adenine Hemi,0.50,10.7.22,1,0.08470
10.5,152,Adenine Hemi,2.50,10.7.22,1,0.06980
10.5,152,Adenine Hemi,5.00,10.7.22,1,0.07943
10.5,152,Adenine Hemi,12.50,10.7.22,1,0.06037
10.5,152,Adenine Hemi,25.00,10.7.22,1,0.02957
11.0,WT,Adenine Hemi,0.00,10.7.22,1,0.04998
11.0,WT,Adenine Hemi,0.00,10.7.22,1,0.05531
11.0,WT,Adenine Hemi,0.03,10.7.22,1,0.05394
11.0,WT,Adenine Hemi,0.25,10.7.22,1,0.05508
11.0,WT,Adenine Hemi,0.50,10.7.22,1,0.05518
11.0,WT,Adenine Hemi,2.50,10.7.22,1,0.04748
11.0,WT,Adenine Hemi,5.00,10.7.22,1,0.03891
11.0,WT,Adenine Hemi,12.50,10.7.22,1,0.04341
11.0,WT,Adenine Hemi,25.00,10.7.22,1,0.03688
11.0,152,Adenine Hemi,0.00,10.7.22,1,0.10544
11.0,152,Adenine Hemi,0.00,10.7.22,1,0.06881
11.0,152,Adenine Hemi,0.03,10.7.22,1,0.06711
11.0,152,Adenine Hemi,0.25,10.7.22,1,0.07921
11.0,152,Adenine Hemi,0.50,10.7.22,1,0.10881
11.0,152,Adenine Hemi,2.50,10.7.22,1,0.08458
11.0,152,Adenine Hemi,5.00,10.7.22,1,0.10031
11.0,152,Adenine Hemi,12.50,10.7.22,1,0.08598
11.0,152,Adenine Hemi,25.00,10.7.22,1,0.03788
11.5,WT,Adenine Hemi,0.00,10.7.22,1,0.05631
11.5,WT,Adenine Hemi,0.00,10.7.22,1,0.06014
11.5,WT,Adenine Hemi,0.03,10.7.22,1,0.05811
11.5,WT,Adenine Hemi,0.25,10.7.22,1,0.05874
11.5,WT,Adenine Hemi,0.50,10.7.22,1,0.05914
11.5,WT,Adenine Hemi,2.50,10.7.22,1,0.05268
11.5,WT,Adenine Hemi,5.00,10.7.22,1,0.04558
11.5,WT,Adenine Hemi,12.50,10.7.22,1,0.04981
11.5,WT,Adenine Hemi,25.00,10.7.22,1,0.04444
11.5,152,Adenine Hemi,0.00,10.7.22,1,0.14078
11.5,152,Adenine Hemi,0.00,10.7.22,1,0.07951
11.5,152,Adenine Hemi,0.03,10.7.22,1,0.07624
11.5,152,Adenine Hemi,0.25,10.7.22,1,0.09858
